"club","wage_total","value_total"
"SV Zulte-Waregem","162000","32970000"
"Perugia","50000","32905000"
"FC Sochaux-Montbéliard","63000","32880000"
"Bradford City","187000","32865000"
"Atlético Paranaense","144000","32515000"
"Willem II","124000","32365000"
"FC Cincinnati","116000","32135000"
"Ettifaq FC","281000","32035000"
"Strømsgodset IF","98000","32015000"
"Avaí FC","161000","31910000"
"Ulsan Hyundai FC","113000","31895000"
"Chindia Târgovişte","132000","31705000"
"Walsall","256000","31055000"
"Central Coast Mariners","85000","30720000"
"Wuhan Zall","115000","30635000"
"Tromsø IL","150000","30470000"
"US Salernitana 1919","57000","30285000"
"Shandong Luneng TaiShan FC","184000","30205000"
"Malmö FF","97000","29890000"
"KV Kortrijk","140000","29885000"
"Portsmouth","145000","29850000"
"Stade Malherbe Caen","88000","29800000"
"Coquimbo Unido","85000","29745000"
"Lech Poznań","82000","29370000"
"Spezia","59000","29365000"
"Al Raed","219000","29185000"
"Nagoya Grampus","77000","29100000"
"Chapecoense","162000","28950000"
"Sunderland","167000","28950000"
"Luton Town","187000","28690000"
"Al Taawoun","209000","28600000"
"Clermont Foot 63","72000","28595000"
"CD Palestino","101000","28580000"
"Tianjin Quanjian FC","173000","28310000"
"Lechia Gdańsk","93000","28270000"
"FC Nordsjælland","114000","28190000"
"KSV Cercle Brugge","116000","28185000"
"Castellammare di Stabia","56000","27990000"
"Kilmarnock","80000","27710000"
"ESTAC Troyes","79000","27680000"
"Patronato","149000","27485000"
"Oxford United","229000","27070000"
"Rochdale","118000","26650000"
"IFK Norrköping","83000","26450000"
"FK Austria Wien","146000","26240000"
"Sparta Rotterdam","153000","26200000"
"Suwon Samsung Bluewings","83000","26000000"
"Pescara","55000","25560000"
"VfL Osnabrück","150000","25500000"
"MKE Ankaragücü","188000","25425000"
"Fleetwood Town","135000","25095000"
"Damac FC","184000","24575000"
"Fortaleza","114000","24460000"
"PEC Zwolle","91000","24210000"
"SpVgg Unterhaching","131000","23800000"
"Oldham Athletic","128000","23270000"
"Jagiellonia Białystok","88000","23250000"
"Cittadella","36000","22950000"
"FC Viitorul","74000","22950000"
"FC Erzgebirge Aue","78000","22890000"
"US Cremonese","47000","22820000"
"Al Fayha","187000","22770000"
"Ascoli","47000","22460000"
"Deportivo Pasto","46000","22300000"
"FC Zürich","101000","22245000"
"Virtus Entella","58000","22220000"
"Deportes Iquique","67000","22205000"
"RKC Waalwijk","112000","22120000"
"Scunthorpe United","197000","22085000"
"Ipswich Town","123000","22015000"
"Heracles Almelo","61000","21910000"
"Plymouth Argyle","184000","21780000"
"Ceará Sporting Club","108000","21715000"
"Incheon United FC","62000","21390000"
